1,12985
18,567
19,10717
21,18466
30,15974
35,18242
41,17836
45,4585
49,7770
69,1904
80,6433
83,11648
86,8232
91,12971
94,3486
120,6335
123,11893
129,17122
133,8442
140,9037
156,5285
166,13517
167,1099
171,4627
177,14196
199,12138
200,19033
215,889
219,8876
224,10934
230,9163
232,9107
239,6615
242,17024
245,14322
251,1533
267,16443
273,2205
279,2856
280,14749
286,5495
288,3808
293,16821
295,4207
296,19460
297,1652
307,7168
309,17717
311,7707
322,5600
326,6916
332,1239
348,8015
352,7567
364,665
378,5544
380,1414
394,5446
397,8820
399,3465
414,5173
418,8295
424,5348
428,679
441,11774
452,224
455,2324
461,13286
473,3717
476,13699
519,12768
521,17108
523,10395
525,9240
538,18284
545,14826
547,15120
556,10094
567,1435
569,16485
583,4879
585,2716
586,15134
592,13293
594,19775
599,15554
608,8169
618,14714
619,13125
633,10507
638,10808
639,13104
645,4886
662,18207
674,9695
680,9632
683,7889
687,13720
694,13356
695,11865
701,11914
707,10759
714,14623
718,455
720,2212
728,16471
741,15400
744,3318
753,16632
755,18900
756,8897
761,2618
774,9345
777,18655
781,2534
790,9450
797,2604
803,11620
814,16079
816,8141
818,16779
821,8512
829,12089
832,11116
839,6076
844,14588
845,1050
849,3192
863,11207
871,11326
873,9835
881,17465
891,13902
897,17822
930,15281
934,6706
937,245
939,6440
943,17598
953,10892
962,5523
964,5194
967,9569
968,6328
969,9247
972,16674
973,9429
983,7868
985,19985
989,13601
998,14791
1005,5390
1011,10332
1019,4949
1020,6405
1021,15799
1030,8022
1057,6027
1061,9688
1065,4648
1068,10374
1082,14798
1098,13139
1100,4515
1105,13692
1118,6020
1125,18872
1135,17395
1149,16611
1160,10304
1164,12943
1170,14154
1171,10983
1178,987
1179,19614
1191,9982
1211,2219
1232,14455
1239,3108
1243,7651
1252,994
1254,4557
1264,777
1267,2681
1269,4802
1279,19432
1281,5558
1283,19698
1290,1897
1295,2870
1310,8225
1312,16954
1314,7959
1316,8127
1317,8113
1318,17262
1324,2177
1328,12355
1329,19649
1331,13755
1334,9464
1348,11074
1349,4956
1356,2135
1362,12621
1363,3388
1384,18431
1398,9555
1411,10031
1430,17031
1431,17339
1443,13307
1466,8652
1473,16436
1485,2002
1490,5208
1497,16240
1520,3962
1526,15232
1540,13986
1546,749
1548,5943
1550,8890
1560,18935
1568,13566
1573,6895
1574,10885
1581,5509
1584,1400
1588,406
1602,19271
1606,21
1608,4809
1620,18515
1623,9919
1632,17878
1633,12040
1648,4823
1660,13916
1662,18704
1663,13993
1673,12397
1677,11319
1684,11851
1687,3472
1690,4186
1696,4340
1699,5614
1706,959
1714,12439
1732,3346
1734,18382
1735,17500
1745,11683
1758,18319
1762,5607
1764,14686
1776,12110
1785,2247
1807,7273
1812,12215
1816,1183
1822,4095
1828,18837
1835,4305
1837,3255
1838,14973
1845,18564
1847,301
1866,13629
1868,10710
1877,15022
1897,13160
1898,17248
1905,7000
1908,8967
1915,13664
1920,14602
1923,12103
1934,1722
1937,5782
1940,7343
1942,12411
1943,15316
1953,7427
1959,434
1962,13762
1965,18438
1966,12320
1981,19670
1986,18648
1996,5397
1999,16653
2006,4375
2040,11830
2041,15960
2045,11816
2046,3927
2051,13468
2065,9646
2074,3710
2079,15820
2090,2940
2093,5467
2094,19621
2095,5299
2101,10276
2120,19593
2132,11284
2134,11431
2136,10521
2138,4102
2144,19145
2155,17864
2162,7406
2165,3311
2180,3724
2187,17164
2200,4235
2213,10101
2224,6188
2225,19026
2238,14280
2242,7686
2248,16555
2249,16856
2253,6048
2265,4865
2302,11088
2304,18991
2310,5019
2311,12180
2312,7581
2313,9408
2320,14308
2338,10136
2341,16646
2343,15435
2351,945
2354,2079
2359,763
2360,16695
2368,560
2374,2009
2389,7455
2390,1547
2392,7987
2393,15106
2399,16898
2412,13475
2422,343
2424,19831
2426,8673
2428,2905
2463,19075
2480,14945
2481,532
2489,18417
2494,13279
2503,238
2504,12845
2513,10815
2516,9457
2522,8911
2523,1666
2538,12362
2549,11172
2553,18732
2555,15806
2564,10689
2576,2317
2586,11025
2592,11424
2597,12754
2598,5341
2599,9471
2609,8330
2611,2093
2616,10696
2617,16156
2629,9940
2650,15631
2651,8848
2654,13412
2658,16800
2665,12131
2671,2149
2680,15498
2685,15386
2687,3780
2692,9086
2693,15911
2703,15988
2704,3738
2706,14910
2709,12348
2716,11067
2717,16030
2719,8617
2721,4501
2724,17360
2726,9226
2746,9870
2753,637
2765,9653
2774,1771
2779,8316
2787,4179
2791,1190
2796,2261
2806,2933
2819,2653
2827,6867
2842,4123
2844,1512
2848,329
2871,14994
2891,15715
2892,8981
2901,15834
2904,13069
2905,11494
2912,12236
2915,2289
2947,616
2948,9310
2958,8393
2964,11634
2976,18368
2978,19838
2994,17451
2995,9751
3020,12796
3021,18683
3023,14609
3051,5180
3055,6923
3059,7756
3061,15778
3066,7693
3067,14217
3072,17486
3076,18487
3081,13153
3082,17682
3083,2800
3087,490
3088,6559
3093,17290
3097,16023
3098,4676
3101,18739
3102,5439
3105,8183
3110,1323
3117,2828
3118,6839
3131,4851
3150,19131
3155,6286
3156,11788
3160,16051
3170,19159
3180,16037
3184,17430
3191,308
3204,19187
3205,9765
3213,1092
3229,8869
3230,16464
3231,8953
3239,15547
3242,5936
3243,476
3254,13769
3267,16926
3270,6881
3276,1484
3304,7224
3329,17073
3341,8036
3347,19523
3350,16324
3371,7280
3375,2100
3389,12068
3398,6426
3438,385
3456,19110
3461,1687
3476,56
3479,10752
3482,10941
3483,8470
3497,1043
3506,5278
3507,11123
3512,1960
3537,13041
